district;lat;lon;population
Академический;55.6895366;37.57688099999999;114228
Алексеевский;55.8113202;37.652847;15196.79
Алтуфьевский;55.87841780000001;37.5874729;17664.0
Арбат;55.7509313;37.5921517;16838.39
Аэропорт;55.8005455;37.5427527;17313.1
Бабушкинский;55.86713979999999;37.662606700000005;17415.38
Басманный;55.7663979;37.6706985;13159.62
Беговой;55.783423;37.56475329999999;7692.27
Бекасово;55.413844;36.95810389999999;33900
Бескудниковский;55.86377840000001;37.551715;23930.61
Бибирево;55.89636600000001;37.6153718;24814.42
Бирюлёво Восточное;55.5968121;37.6826125;10439.47
Бирюлёво Западное;55.5910661;37.6387021;10387.9
Богородское;55.82004109999998;37.7080705;10557.71
Братеево;55.63269699999999;37.7603408;14392.53
Бутырский;55.8136335;37.5935774;14089.88
Вешняки;55.72942449999999;37.8051014;11392.07
Внуково;55.607205400000005;37.2307146;1458.44
Войковский;55.8280428;37.49664659999999;10619.06
Вороново;55.2723658;37.18252859999999;26700
Восточное Дегунино;55.87609809999999;37.5588631;26223.87
Восточное Измайлово;55.7956702;37.82072899999999;20246.23
Восточный;55.9069554;37.8446854;4341.08
Выхино-Жулебино;55.698332;37.8259909;15016.43
Гагаринский;55.6975086;37.5594031;14651.27
Головинский;55.852428800000006;37.50982309999999;11550.73
Гольяново;55.828899;37.7947403;10854.9
Даниловский;55.7068682;37.6369726;7414.13
Дмитровский;55.8901972;37.5241163;12786.97
Донской;55.7052563;37.6055039;9045.2
Дорогомилово;55.7382256;37.5318932;9416.98
Замоскворечье;55.734753;37.6346438;13573.38
Западное Дегунино;55.87058689999999;37.5203023;11057.37
Зюзино;55.65380269999999;37.5887848;23224.4
Зябликово;55.6212469;37.75122580000001;30387.21
Ивановское;55.7681881;37.8252163;12518.65
Измайлово;55.78123879999999;37.77425999999999;7004.0
Капотня;55.6407289;37.8124186;4015.38
Коммунарка;55.5676547;37.4615367;165000
Коньково;55.64047059999999;37.5312556;21756.41
Коптево;55.8301266;37.532688;18939.41
Косино-Ухтомский;55.7139289;37.89083709999999;5421.13
Котловка;55.6778173;37.59645359999999;16703.3
Краснопахорский;55.406064;37.261639;25700
Красносельский;55.77642019999999;37.65830919999999;9785.08
Крылатское;55.7610767;37.4150255;6859.88
Крюково;55.973617100000006;37.18244039999999;9318.02
Кузьминки;55.69851499999999;37.7754652;17874.85
Кунцево;55.75899499999999;37.1678451;9143.9
Куркино;55.8919009;37.39636089999999;4216.71
Левобережный;55.8656417;37.4666449;6743.88
Лефортово;55.75433279999999;37.7035554;10386.53
Лианозово;55.9003034;37.5639055;14825.04
Ломоносовский;55.67907399999999;37.5336124;26346.71
Лосиноостровский;55.87837099999999;37.6974091;14958.3
Люблино;55.67420469999999;37.7773776;9876.28
Марфино;55.8330658;37.5886811;11850.51
Марьина Роща;55.7966275;37.6119307;14394.66
Марьино;55.6541591;37.7404347;21318.89
Матушкино;56.0028138;37.2051449;9212.56
Метрогородок;55.8437177;37.7275342;1410.19
Мещанский;55.7780808;37.6286446;13212.61
Митино;55.84482319999999;37.3640944;15223.05
Можайский;55.7031152;37.3905948;12837.47
Молжаниновский;55.9327428;37.3768893;454.68
Москворечье-Сабурово;55.64314759999999;37.67585759999999;8657.2
Нагатино-Садовники;55.6711937;37.643551;10139.05
Нагатинский Затон;55.6754558;37.6829338;12216.94
Нагорный;55.665637100000005;37.61533529999999;15063.84
Некрасовка;55.69726370000001;37.9367776;11339.61
Нижегородский;55.7328421;37.7239622;5971.99
Ново-Переделкино;55.6419103;37.374155;14380.54
Новогиреево;55.74787319999999;37.8020151;22108.31
Новокосино;55.7399132;37.8656845;29901.67
Обручевский;55.6579466;37.5187968;14012.44
Орехово-Борисово Северное;55.62119489999999;37.7008275;17200.26
Орехово-Борисово Южное;55.6039726;37.7382447;21284.29
Останкинский;55.8280968;37.6150165;5068.06
Отрадное;55.863408;37.6032398;18189.69
Очаково-Матвеевское;55.69177429999999;37.4485473;7405.36
Перово;55.7510805;37.7641564;14468.96
Печатники;55.68368250000001;37.7032139;4832.14
Покровское-Стрешнево;55.824637;37.4439023;4519.3
Преображенское;55.7962684;37.72238519999999;16045.81
Пресненский;55.7599586;37.56184509999999;10894.19
Проспект Вернадского;55.6751967;37.4988623;13676.77
Раменки;55.707527;37.5127753;7504.15
Ростокино;55.8350693;37.6517951;11131.92
Рязанский;55.72076409999999;37.7673881;16753.93
Савёлки;55.9856668;37.2389007;4200.12
Савёловский;55.7998486;37.5674954;21920.0
Свиблово;55.8530739;37.648475;14061.0
Северное Бутово;55.5680515;37.57021149999999;10466.7
Северное Измайлово;55.80855489999998;37.7973049;20848.57
Северное Медведково;55.8872227;37.65245329999999;22517.84
Северное Тушино;55.86416119999999;37.4272995;17581.38
Северный;55.9324445;37.549971;3397.47
Силино;56.000830400000005;37.1684146;3844.9
Сокол;55.80320879999999;37.5036484;15954.03
Соколиная Гора;55.7730151;37.726746;11617.98
Сокольники;55.8031395;37.6778063;5949.81
Солнцево;55.65347820000001;37.4123507;11053.76
Старое Крюково;55.98044959999999;37.1998201;8097.9
Строгино;55.8000481;37.4074372;9499.58
Таганский;55.74029699999999;37.6659549;15099.0
Тверской;55.76970130000001;37.605071900000006;10659.83
Текстильщики;55.7070299;37.7365718;17705.24
Тимирязевский;55.82730680000001;37.558254;8019.27
Троицк;55.50186149999999;37.34766729999999;83000
Тропарёво-Никулино;55.66138110000001;37.4694877;10956.34
Тёплый Стан;55.62886679999999;37.4881042;17906.4
Фили-Давыдково;55.72650610000001;37.4682611;16509.63
Филимонковский;55.54724519999999;37.2602368;52000
Филёвский Парк;55.7506043;37.4745038;9640.33
Хамовники;55.730338200000006;37.576639;10790.28
Ховрино;55.8689109;37.4883436;15330.72
Хорошёво-Мнёвники;55.7675481;37.4625159;10033.24
Хорошёвский;55.78179130000001;37.52942529999999;7199.09
Царицыно;55.6256788;37.6560107;15298.1
Чертаново Северное;55.6329979;37.6040666;21204.81
Чертаново Центральное;55.61436569999999;37.6052598;17898.47
Чертаново Южное;55.5882227;37.6030788;15998.61
Черёмушки;55.6657965;37.5623468;19845.47
Щербинка;55.482956899999984;37.5271097;117000
Щукино;55.8015358;37.4749615;14339.66
Южное Бутово;55.53854580000001;37.5297463;8142.8
Южное Медведково;55.8735458;37.6364499;22041.49
Южное Тушино;55.8423729;37.4310859;13725.19
Южнопортовый;55.7145288;37.680478400000005;16418.54
Якиманка;55.7300385;37.6019964;5747.71
Ярославский;55.8621231;37.6991153;12247.68
Ясенево;55.615635;37.5371042;7010.13
